town,state,year,subject,creator,type,attribution,image,fig_num,location,popup,lng,lat,icon,choice
Georgetown,MA,1832,Pierce House,Porter School,mural,Lipman,NA,NA,"Georgetown, MA","<b>Pierce House</b><br> Attirbuted to Porter School<br>1832<br><img src= 'NA', width = '200'>",-70.9990821768293,42.7192642595421,school,school
Georgetown,MA,1832,Ethel M. Fredrick House,Porter School,mural,Lipman,NA,NA,"Georgetown, MA","<b>Ethel M. Fredrick House</b><br> Attirbuted to Porter School<br>1832<br><img src= 'NA', width = '200'>",-70.9941283951821,42.7145489440886,school,school
Georgetown,MA,1832,John C. Wilkins House,Porter School,mural,Lipman,NA,NA,"Georgetown, MA","<b>John C. Wilkins House</b><br> Attirbuted to Porter School<br>1832<br><img src= 'NA', width = '200'>",-70.9826390350719,42.7346485274535,school,school
Groton,MA,1835,Dr. Harold Ayers House,Jonathan D. Poor,mural,Lipman,NA,NA,"Groton, MA","<b>Dr. Harold Ayers House</b><br> Attirbuted to Jonathan D. Poor<br>1835<br><img src= 'NA', width = '200'>",-71.5679911122567,42.6091272793874,jdp,JDP
Groveland,MA,1830,Harold Stacey House,Porter School,mural,Lipman,NA,NA,"Groveland, MA","<b>Harold Stacey House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.0303008988368,42.7618700847406,school,school
Groveland,MA,1830,Savery Homestead,Porter School,mural,Lipman,NA,NA,"Groveland, MA","<b>Savery Homestead</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.023888603956,42.7564900506355,school,school
Groveland,MA,1830,Spofford House,Porter School,mural,Lipman,NA,NA,"Groveland, MA","<b>Spofford House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.0248619246825,42.7678873710159,school,school
Groveland,MA,1830,Edna Worthing Cottage,Porter School,mural,Lipman,NA,NA,"Groveland, MA","<b>Edna Worthing Cottage</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.0388862200657,42.7565421388323,school,school
Harvard,MA,1830,Joseph E. Lamborghini House,Porter School,mural,Lipman,NA,NA,"Harvard, MA","<b>Joseph E. Lamborghini House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.5841077496813,42.4907702876148,school,school
Harvard,MA,1830,R. Raynond Warren Apartments,Porter School,mural,Lipman,NA,NA,"Harvard, MA","<b>R. Raynond Warren Apartments</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.5767552433466,42.497443381877,school,school
Harvard,MA,1830,Wallace F. Bryant Estate Apartments (Whitney house),Porter School,mural,Lipman,NA,NA,"Harvard, MA","<b>Wallace F. Bryant Estate Apartments (Whitney house)</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.5878653114978,42.487406082702,school,school
Lexington,MA,1830,Joshua Simons House,Porter School,mural,Lipman,NA,NA,"Lexington, MA","<b>Joshua Simons House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.2298647165161,42.4445329204428,school,school
Lunenburg,MA,1830,Faith Gardner House,Porter School,mural,Lipman,NA,76,"Lunenburg, MA","<b>Faith Gardner House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.7169756321306,42.5850803554738,school,school
Merrimac,MA,1830,Sargent House,Porter School,mural,Lipman,NA,NA,"Merrimac, MA","<b>Sargent House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.0013933727862,42.8428992938396,school,school
Merrimacport,MA,1830,Ronald Shaw HOuse,Porter School,mural,Lipman,NA,NA,"Merrimacport, MA","<b>Ronald Shaw HOuse</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-70.9943401635806,42.8272579448631,school,school
North Reading,MA,1835,Van Heusen Seventeenth-Century Farms,Porter School,mural,Lipman,NA,color plate 9,"North Reading, MA","<b>Van Heusen Seventeenth-Century Farms</b><br> Attirbuted to Porter School<br>1835<br><img src= 'NA', width = '200'>",-71.088568190732,42.5754427713066,school,school
North Reading,MA,1835,Frances Shay Mague House,Porter School,mural,Lipman,NA,NA,"North Reading, MA","<b>Frances Shay Mague House</b><br> Attirbuted to Porter School<br>1835<br><img src= 'NA', width = '200'>",-71.0727289103044,42.5830076619833,school,school
North Reading,MA,1835,Weeks Memorial Library,Porter School,mural,Lipman,NA,NA,"North Reading, MA","<b>Weeks Memorial Library</b><br> Attirbuted to Porter School<br>1835<br><img src= 'NA', width = '200'>",-71.078378387955,42.5824413199223,school,school
North Reading,MA,1835,House near Route 28,Porter School,mural,Lipman,NA,NA,"North Reading, MA","<b>House near Route 28</b><br> Attirbuted to Porter School<br>1835<br><img src= 'NA', width = '200'>",-71.070886755464,42.5675196788498,school,school
Townsend,MA,1830,Charles A. Smith House,Porter School,mural,Lipman,NA,NA,"Townsend, MA","<b>Charles A. Smith House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.7034220422382,42.6663264286532,school,school
Townsend,MA,1830,Reed Mansion,Porter School,mural,Lipman,NA,NA,"Townsend, MA","<b>Reed Mansion</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.7023150570709,42.6650751388618,school,school
Wakefield,MA,1835,Winn House,Porter School,mural,Lipman,NA,NA,"Wakefield, MA","<b>Winn House</b><br> Attirbuted to Porter School<br>1835<br><img src= 'NA', width = '200'>",-71.0647280259311,42.5050360459268,school,school
Wakefield,MA,1835,Franklin Poole House,Porter School,mural,Lipman,NA,NA,"Wakefield, MA","<b>Franklin Poole House</b><br> Attirbuted to Porter School<br>1835<br><img src= 'NA', width = '200'>",-71.0668796792224,42.5067889657416,school,school
Wakefield,MA,1835,Lilly Eaton House,Porter School,mural,Lipman,NA,NA,"Wakefield, MA","<b>Lilly Eaton House</b><br> Attirbuted to Porter School<br>1835<br><img src= 'NA', width = '200'>",-71.0663581363585,42.499987034947,school,school
Wakefield,MA,1835,Thomas Walton House,Porter School,mural,Lipman,NA,NA,"Wakefield, MA","<b>Thomas Walton House</b><br> Attirbuted to Porter School<br>1835<br><img src= 'NA', width = '200'>",-71.0726924764231,42.5120343606361,school,school
Wakefield,MA,1835,Kenneth Odiorne House,Porter School,mural,Lipman,NA,NA,"Wakefield, MA","<b>Kenneth Odiorne House</b><br> Attirbuted to Porter School<br>1835<br><img src= 'NA', width = '200'>",-71.0815870162279,42.5059538243958,school,school
West Boxford,MA,1838,John A. Andrew House,Porter School,mural,Lipman,NA,color plate 12,"West Boxford, MA","<b>John A. Andrew House</b><br> Attirbuted to Porter School<br>1838<br><img src= 'NA', width = '200'>",-71.0653918630649,42.6948519816566,school,school
West Boxford,MA,1838,Joseph Burgson House,Porter School,mural,Lipman,NA,NA,"West Boxford, MA","<b>Joseph Burgson House</b><br> Attirbuted to Porter School<br>1838<br><img src= 'NA', width = '200'>",-71.0729178943079,42.7053581160605,school,school
West Boxford,MA,1838,Hovey House,Porter School,mural,Lipman,NA,NA,"West Boxford, MA","<b>Hovey House</b><br> Attirbuted to Porter School<br>1838<br><img src= 'NA', width = '200'>",-71.0607988871388,42.7102070119845,school,school
Westwood,MA,1838,Reuben Guild House,Rufus Porter and Stephen Twombly Porter,mural,Lipman,NA,NA,"Westwood, MA","<b>Reuben Guild House</b><br> Attirbuted to Rufus Porter and Stephen Twombly Porter<br>1838<br><img src= 'NA', width = '200'>",-71.2230552382581,42.2153354745631,rp_mural,RP
Westwood,MA,1838,Allen House,Rufus Porter and Stephen Twombly Porter,mural,Lipman,NA,NA,"Westwood, MA","<b>Allen House</b><br> Attirbuted to Rufus Porter and Stephen Twombly Porter<br>1838<br><img src= 'NA', width = '200'>",-71.2277177784142,42.2142400141455,rp_mural,RP
Bridgton,ME,1830,Deacon Libby House,Porter School,mural,Lipman,NA,NA,"Bridgton, ME","<b>Deacon Libby House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-70.7101311281727,44.0614931073119,school,school
Bryant Pond,ME,1835,Whitman Homestead,Jonathan D. Poor,mural,Lipman,NA,NA,"Bryant Pond, ME","<b>Whitman Homestead</b><br> Attirbuted to Jonathan D. Poor<br>1835<br><img src= 'NA', width = '200'>",-70.5903047043016,44.4069064629884,jdp,JDP
Buxton,ME,1830,Carroll Rounds House,Porter School,mural,Lipman,NA,NA,"Buxton, ME","<b>Carroll Rounds House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-70.5274378956407,43.6300459757032,school,school
Buxton,ME,1830,A.I. Poulsen House,Porter School,mural,Lipman,NA,NA,"Buxton, ME","<b>A.I. Poulsen House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-70.5121462222824,43.6510102689041,school,school
Fryeburg,ME,1830,Barrows Homestead,Rufus Porter and Jonathan D. Poor,mural,Lipman,NA,"color plate 14, color plate 15","Fryeburg, ME","<b>Barrows Homestead</b><br> Attirbuted to Rufus Porter and Jonathan D. Poor<br>1830<br><img src= 'NA', width = '200'>",-70.9900151166589,44.0173183401956,rp_mural,RP
Fryeburg,ME,1830,Warren-Towle House,Porter School,mural,Lipman,NA,NA,"Fryeburg, ME","<b>Warren-Towle House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-70.9892311674498,44.0091728384094,school,school
Gorham,ME,1830,Dr. Files House,Porter School,mural,Lipman,NA,NA,"Gorham, ME","<b>Dr. Files House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-70.4418179392468,43.6671959052221,school,school
Gorham,ME,1851,Fox House,Granville Fernald,mural,Lipman,NA,NA,"Gorham, ME","<b>Fox House</b><br> Attirbuted to Granville Fernald<br>1851<br><img src= 'NA', width = '200'>",-70.4393625929367,43.6851234446404,other,other
Hollis Center,ME,1830,Quillcote,Porter School,mural,Lipman,NA,"70, 71","Hollis Center, ME","<b>Quillcote</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-70.6217772145862,43.6392955573805,school,school
Lewiston,ME,1830,H.O. Wood House,Orison Wood,mural,Lipman,NA,NA,"Lewiston, ME","<b>H.O. Wood House</b><br> Attirbuted to Orison Wood<br>1830<br><img src= 'NA', width = '200'>",-70.2241013323997,44.0953712901568,other,other
Lewiston,ME,1830,Howard W. Mann House,Orison Wood,mural,Lipman,NA,NA,"Lewiston, ME","<b>Howard W. Mann House</b><br> Attirbuted to Orison Wood<br>1830<br><img src= 'NA', width = '200'>",-70.2211776031556,44.0935191355389,other,other
Monmouth,ME,1830,Simon Martson House,Porter School,mural,Lipman,NA,NA,"Monmouth, ME","<b>Simon Martson House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-70.034425965297,44.227309326641,school,school
Parsonfield,ME,1830,Dalton House,Jonathan D. Poor,mural,signed,http://s3.amazonaws.com/afanews_articles/01019/FIG-13_-15---Dalton-signature.png,NA,"Parsonfield, ME","<b>Dalton House</b><br> Attirbuted to Paine<br>1830<br><img src= 'NA', width = '200'>",-70.9373895731003,43.7178056125432,other,other
Portland,ME,1827,Deacon John Bailey House,Porter School,mural,Lipman,NA,NA,"Portland, ME","<b>Deacon John Bailey House</b><br> Attirbuted to Porter School<br>1827<br><img src= 'NA', width = '200'>",-70.2543733489325,43.6661911543374,school,school
Portland,ME,1827,Ellis Place,Porter School,mural,Lipman,NA,NA,"Portland, ME","<b>Ellis Place</b><br> Attirbuted to Porter School<br>1827<br><img src= 'NA', width = '200'>",-70.258332987438,43.6575767137633,school,school
Rumford,ME,1840,Phil Baker House,Jonathan D. Poor,mural,Lipman,NA,NA,"Rumford, ME","<b>Phil Baker House</b><br> Attirbuted to Jonathan D. Poor<br>1840<br><img src= 'NA', width = '200'>",-70.5508013585872,44.5544999130469,jdp,JDP
Sebec,ME,1824,Ellerton Jette House,"Rufus Porter and Moses Eaton, Jr.",mural,Lipman,NA,"61, 62","Sebec, ME","<b>Ellerton Jette House</b><br> Attirbuted to Rufus Porter and Moses Eaton, Jr.<br>1824<br><img src= 'NA', width = '200'>",-69.1127098346272,45.2810131258036,rp_mural,RP
South Bridgton,ME,1830,Ingalls House,Porter School,mural,Lipman,NA,NA,"South Bridgton, ME","<b>Ingalls House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-70.7146827676318,44.0040792008181,school,school
Turner,ME,1830,Captain Leavitt House,Orison Wood,mural,Lipman,NA,NA,"Turner, ME","<b>Captain Leavitt House</b><br> Attirbuted to Orison Wood<br>1830<br><img src= 'NA', width = '200'>",-70.2540084106346,44.2622016411616,other,other
Turner,ME,1830,Unidentified House,Orison Wood,mural,Lipman,NA,NA,"Turner, ME","<b>Unidentified House</b><br> Attirbuted to Orison Wood<br>1830<br><img src= 'NA', width = '200'>",-70.2529278527693,44.2563787488439,other,other
Webster Corner,ME,1830,Cushman Tavern,Orison Wood,mural,Lipman,NA,93,"Webster Corner, ME","<b>Cushman Tavern</b><br> Attirbuted to Orison Wood<br>1830<br><img src= 'NA', width = '200'>",-70.0909355705239,44.0528387117387,other,other
West Auburn,ME,1830,Otis B. Tibbets House,Orison Wood,mural,Lipman,NA,NA,"West Auburn, ME","<b>Otis B. Tibbets House</b><br> Attirbuted to Orison Wood<br>1830<br><img src= 'NA', width = '200'>",-70.289821300529,44.1434034380867,other,other
West Mt. Vernon,ME,1835,Leon H. Marr House,Jonathan D. Poor,mural,Lipman,NA,NA,"West Mt. Vernon, ME","<b>Leon H. Marr House</b><br> Attirbuted to Jonathan D. Poor<br>1835<br><img src= 'NA', width = '200'>",-70.0114310262083,44.4542254931703,jdp,JDP
West Mt. Vernon,ME,1835,Unidentified House,Jonathan D. Poor,mural,Lipman,NA,NA,"West Mt. Vernon, ME","<b>Unidentified House</b><br> Attirbuted to Jonathan D. Poor<br>1835<br><img src= 'NA', width = '200'>",-70.0182422686673,44.4546674086832,jdp,JDP
Westbrook,ME,1830,Zebulon Trickey House,Porter School,mural,Lipman,NA,NA,"Westbrook, ME","<b>Zebulon Trickey House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-70.3669112529151,43.6677146008163,school,school
Westbrook,ME,1851,Pride House,Granville Fernald,mural,Lipman,NA,NA,"Westbrook, ME","<b>Pride House</b><br> Attirbuted to Granville Fernald<br>1851<br><img src= 'NA', width = '200'>",-70.3765926131167,43.6699794145462,other,other
Dover,NH,1825,Neighborhood House,Porter School,mural,Lipman,NA,NA,"Dover, NH","<b>Neighborhood House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-70.8804709605552,43.2003568756278,school,school
East Jaffrey,NH,1824,Prescott Tavern,Porter School,mural,Lipman,https://upload.wikimedia.org/wikipedia/commons/c/cc/Rufus_Porter_-_Boston_Harbor_-_2007.385_-_Museum_of_Fine_Arts.jpg,"55, 56, color plate 1, color plate 2","East Jaffrey, NH","<b>Prescott Tavern</b><br> Attirbuted to Porter School<br>1824<br><img src= '""images/RP_JaffreyNH.jpg""', width = '200'>",-72.0288591122838,42.8267906438348,school,school
East Jaffrey,NH,1824,Don Pierce House,Porter School,mural,Lipman,NA,NA,"East Jaffrey, NH","<b>Don Pierce House</b><br> Attirbuted to Porter School<br>1824<br><img src= 'NA', width = '200'>",-72.0237414036064,42.8222668141358,school,school
Greenfield,NH,1825,Squire Craigin House,Porter School,mural,Lipman,NA,NA,"Greenfield, NH","<b>Squire Craigin House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-71.8679664161634,42.9402536102463,school,school
Greenfield,NH,1825,James T. Garvin House,Porter School,mural,Lipman,NA,NA,"Greenfield, NH","<b>James T. Garvin House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-71.8695719121678,42.9567315339226,school,school
Greenfield,NH,1825,Eliot Hutchinson House,Porter School,mural,Lipman,NA,NA,"Greenfield, NH","<b>Eliot Hutchinson House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-71.8725538399139,42.9486240149917,school,school
Hancock,NH,1824,Miss Mary and Dr. Fredrika Moore House,Porter School,mural,Lipman,NA,NA,"Hancock, NH","<b>Miss Mary and Dr. Fredrika Moore House</b><br> Attirbuted to Porter School<br>1824<br><img src= 'NA', width = '200'>",-71.9873502252683,42.9832651351072,school,school
Hancock,NH,1825,Patricia Holsaert House,Porter School,mural,Lipman,NA,"color plate 6, color plate 7","Hancock, NH","<b>Patricia Holsaert House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-71.9700921864445,42.9743754233836,school,school
Hancock,NH,1825,Cynthia Porter Weston House,Porter School,mural,Lipman,NA,NA,"Hancock, NH","<b>Cynthia Porter Weston House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-71.9882614623428,42.9677774933324,school,school
Hancock,NH,1825,John Hancock Inn,Porter School,mural,Lipman,https://www.ledgertranscript.com/getattachment/8fdc6a21-ab1a-404d-bd3c-dab1eb234b96/rerufus-ml-011620-ph1,NA,"Hancock, NH","<b>John Hancock Inn</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-71.9841537354712,42.9809595858259,school,school
Haverhill,NH,1825,Grace D. Wilson-Lavery House,Porter School,mural,Lipman,NA,NA,"Haverhill, NH","<b>Grace D. Wilson-Lavery House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-72.0645347279502,44.0396770697442,school,school
Langdon,NH,1824,Bidwell Tavern,Porter School,mural,Lipman,NA,"63, 64","Langdon, NH","<b>Bidwell Tavern</b><br> Attirbuted to Porter School<br>1824<br><img src= 'NA', width = '200'>",-72.3776143054071,43.1609276016845,school,school
Lyme,NH,1825,Frederick Wagner House,Porter School,mural,Lipman,NA,"45, 69","Lyme, NH","<b>Frederick Wagner House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-72.1513302718827,43.7986303889198,school,school
Lyme,NH,1825,Dennis House,Porter School,mural,Lipman,NA,NA,"Lyme, NH","<b>Dennis House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-72.1551416360558,43.8153894852627,school,school
Lyme,NH,1825,Perkins-Simmons House,Porter School,mural,Lipman,NA,NA,"Lyme, NH","<b>Perkins-Simmons House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-72.1618430762897,43.8135846666524,school,school
